School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Maryville,14.43,18.37,32.8,3,2,1
Cassville,12.4,20.08,32.47,4,1,2
Richmond,15.02,15.36,30.39,1,4,3
John Burroughs,12.28,17.43,29.72,5,3,4
Macon,12.06,13.42,25.49,6,6,5
Centralia,9.34,12.76,22.1,8,7,6
Oak Grove,10.1,8.57,18.67,7,10,7
Seneca,7.28,9.87,17.14,10,9,8
Center,5.5,10.75,16.25,13,8,9
Cardinal Ritter,-0.37,14.23,13.86,29,5,10
Hogan Prep Academy Charter,6.28,5.63,11.91,12,13,11
Boonville,6.41,5.27,11.68,11,14,12
St. Pius X (Kansas City),3.59,5.92,9.5,17,12,13
Springfield Catholic,4.45,4.95,9.41,14,16,14
Central (Park Hills),2.98,6.39,9.38,19,11,15
Fredericktown,7.9,-1.37,6.53,9,30,16
Chillicothe,3.6,2.68,6.28,16,24,17
Mt. Vernon,3.71,2.29,5.99,15,25,18
Monett,1.25,4.66,5.91,24,17,19
Dexter,1.25,4.13,5.38,23,19,20
Odessa,14.59,-9.48,5.11,2,41,21
Logan-Rogersville,1.68,3.1,4.78,21,23,22
Aurora,-2.15,5.19,3.04,34,15,23
Osage,-0.49,3.24,2.75,30,22,24
Versailles,-1.32,3.83,2.51,32,20,25
McCluer South-Berkeley,-3.03,4.14,1.11,36,18,26
O'Hara,-0.24,0.02,-0.22,28,27,27
Potosi,1.34,-2.32,-0.98,22,31,28
Pembroke Hill,2.09,-3.54,-1.45,20,34,29
Ste. Genevieve,3.24,-5.21,-1.97,18,36,30
Trinity Catholic,1.04,-3.37,-2.34,25,33,31
Ava,-6.64,3.49,-3.15,39,21,32
Salem,-4.74,0.94,-3.8,37,26,33
Wright City,-0.23,-4.6,-4.83,27,35,34
Owensville,-2.52,-2.52,-5.04,35,32,35
Cameron,-4.83,-0.61,-5.44,38,29,36
Clinton,-1.49,-5.54,-7.03,33,37,37
Duchesne,-6.81,-0.56,-7.37,40,28,38
Central (New Madrid County),0.34,-9.71,-9.38,26,42,39
Southern Boone,-1.12,-10.25,-11.37,31,43,40
Reeds Spring,-9.16,-6.68,-15.84,43,39,41
California,-11.12,-6.31,-17.43,44,38,42
St. James,-8.42,-13.7,-22.12,42,47,43
Soldan International Studies,-7.22,-15.55,-22.77,41,50,44
East Newton,-12.15,-10.72,-22.87,47,44,45
Sumner,-16.43,-7.09,-23.52,52,40,46
Orchard Farm,-11.8,-13.91,-25.71,46,48,47
Kennett,-12.6,-14.55,-27.15,48,49,48
Eldon,-15.19,-12.56,-27.75,51,45,49
Veritas Christian Academy,-11.8,-17.13,-28.94,45,52,50
John F. Kennedy,-18.95,-13.31,-32.26,54,46,51
Fulton,-13.71,-18.74,-32.45,50,53,52
Hollister,-13.58,-20.04,-33.62,49,54,53
Bishop DuBourg,-18.59,-16.13,-34.72,53,51,54
Lift for Life Academy Charter,-21.36,-22.67,-44.03,55,56,55
Lincoln College Prep,-25.08,-20.95,-46.03,56,55,56
Confluence Prep Academy Charter,-34.61,-26.18,-60.79,58,57,57
Winfield,-30.64,-37.3,-67.94,57,60,58
Central (Kansas City),-38.95,-30.93,-69.88,60,58,59
Buffalo,-38.78,-32.84,-71.62,59,59,60
East (Kansas City),-44.08,-37.57,-81.66,61,61,61
Missouri Military Academy,-44.36,-44.91,-89.28,62,62,62
Northeast (Kansas City),-55.98,-48.78,-104.76,64,63,63
Southwest Early College,-53.51,-57.87,-111.39,63,64,64
