School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Webb City,33.76,26.19,59.95,1,1,1
Bolivar,23.38,22.15,45.53,3,3,2
Savannah,19.44,22.08,41.51,6,4,3
MICDS,26.28,15.11,41.39,2,11,4
Harrisonville,12.89,24.07,36.96,17,2,5
Platte County,17.58,18.82,36.4,7,7,6
Hillcrest,14.03,21.41,35.43,14,5,7
Carthage,16.16,18.4,34.56,8,8,8
Farmington,20.26,13.36,33.62,5,13,9
Ladue Horton Watkins,22.79,9.98,32.76,4,21,10
Helias Catholic,15.63,16.79,32.42,11,9,11
Gateway,15.76,13.68,29.44,10,12,12
Smithville,13.8,12.84,26.64,15,16,13
Raytown South,6.01,19.82,25.83,28,6,14
Liberty North,13.27,11.38,24.65,16,19,15
Hannibal,8.57,15.55,24.12,24,10,16
St. Clair,11.53,10.43,21.96,21,20,17
Sikeston,16.15,4.87,21.02,9,31,18
St. Francis Borgia,12.48,8.27,20.75,19,24,19
Miller Career Academy,12.09,7.55,19.63,20,27,20
Pleasant Hill,6.1,12.96,19.07,27,14,21
Union,14.85,3.49,18.35,13,35,22
St. Charles West,5.54,12.44,17.98,30,18,23
Lafayette (St. Joseph),12.69,4.77,17.46,18,32,24
Excelsior Springs,14.88,2.51,17.39,12,39,25
Hillsboro,10.59,5.57,16.16,22,29,26
Sullivan,2.14,12.73,14.87,35,17,27
Festus,3.4,7.99,11.39,34,26,28
Grain Valley,8.27,3.04,11.31,25,36,29
Republic,0.92,9.35,10.27,38,22,30
University City,7.16,2.15,9.32,26,40,31
Central (Cape Girardeau),5.14,3.83,8.97,31,33,32
Normandy Collaborative,-5.3,12.89,7.59,53,15,33
Carl Junction,-1.94,8.98,7.04,47,23,34
Jennings,4.15,2.64,6.8,32,38,35
Grandview,8.61,-3.6,5.01,23,49,36
Clayton,-0.36,3.64,3.29,42,34,37
Benton,1.75,1.05,2.8,37,41,38
Moberly,-5.21,6.85,1.64,52,28,39
Nevada,-5.31,5.05,-0.26,54,30,40
St. Mary's South Side,-1.9,0.68,-1.22,46,42,41
Marshfield,5.86,-7.33,-1.47,29,52,42
Vashon,0.1,-1.66,-1.56,39,45,43
Van Horn,-0.86,-1.56,-2.41,43,44,44
North County,-1.19,-1.99,-3.17,44,47,45
St. Dominic,-11.95,8.25,-3.7,59,25,46
Pacific,-1.68,-2.03,-3.71,45,48,47
McDonald County,-0.15,-3.61,-3.76,40,50,48
Priory,-2.9,-1.85,-4.75,49,46,49
Warrensburg,-8.19,2.77,-5.42,55,37,50
Mexico,1.79,-8.88,-7.09,36,53,51
DeSoto with Kingston,-3.02,-5.59,-8.62,50,51,52
Lutheran South,3.5,-13.65,-10.14,33,59,53
Kirksville,-0.16,-10.52,-10.68,41,56,54
West Plains,-2.69,-9.92,-12.62,48,55,55
Warrenton,-8.84,-8.92,-17.77,56,54,56
Westminster Christian Academy,-21.73,-0.33,-22.06,63,43,57
Windsor (Imperial),-10.31,-12.53,-22.84,57,58,58
St. Charles,-3.32,-20.6,-23.92,51,63,59
Roosevelt,-13.53,-11.25,-24.78,60,57,60
Affton,-11.5,-16.61,-28.1,58,61,61
Marshall,-18.73,-13.9,-32.63,62,60,62
Perryville,-16.89,-17.26,-34.15,61,62,63
