School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,34.85,31.07,65.92,2,3,1
Blue Springs South,30.17,31.38,61.55,4,2,2
Rockhurst,25.29,35.07,60.36,10,1,3
Jefferson City,30.24,29.8,60.04,3,4,4
Ft. Zumwalt West,35.81,20.88,56.69,1,9,5
Francis Howell,27.7,27.99,55.69,6,5,6
Rock Bridge,25.73,27.4,53.13,9,6,7
Blue Springs,29.53,22.63,52.16,5,8,8
SLUH,27.68,14.78,42.46,7,17,9
De Smet Jesuit,26.8,13.89,40.69,8,20,10
Hickman,11.7,24.71,36.41,18,7,11
Eureka,20.32,14.44,34.76,11,18,12
Ritenour,14.68,19.5,34.19,14,10,13
Hazelwood Central,15.56,16.65,32.2,13,14,14
Lafayette (Wildwood),13.91,17.61,31.53,15,12,15
Lindbergh,7.59,19.33,26.91,22,11,16
Hazelwood West,11.8,14.03,25.83,17,19,17
Liberty,7.49,16.16,23.65,23,15,18
Troy Buchanan,3.5,17.05,20.55,26,13,19
Raymore-Peculiar,13.32,5.83,19.16,16,24,20
Lee's Summit,8.43,10.32,18.75,21,22,21
Pattonville,2.04,15.4,17.44,28,16,22
Lee's Summit North,17.82,-0.74,17.08,12,28,23
Parkway South,1.01,13.13,14.13,29,21,24
Mehlville,2.53,9.98,12.51,27,23,25
Oakville,7.23,4.78,12.01,24,26,26
Francis Howell Central,6.18,4.12,10.31,25,27,27
Joplin,9.98,-1.13,8.84,20,29,28
Timberland,10.77,-2.07,8.7,19,30,29
Marquette,-1.82,5.44,3.62,31,25,30
Francis Howell North,-0.82,-4.23,-5.05,30,31,31
Northwest (Cedar Hill),-9.9,-7.94,-17.84,32,32,32
