School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Maplewood-Richmond Hts.,8.43,16.7,25.13,5,1,1
Liberty (Mountain View),12.93,7.59,20.51,2,7,2
Clark County,8.77,8.93,17.7,4,6,3
Holden,11.27,6.31,17.58,3,9,4
Lafayette County,6.81,9.9,16.71,7,5,5
Brookfield,6.04,10.33,16.37,8,3,6
Bowling Green,5.92,10.31,16.24,10,4,7
Lamar,6.95,7.54,14.49,6,8,8
Lawson,2.79,10.72,13.51,12,2,9
Lutheran North,6.03,3.52,9.55,9,13,10
Caruthersville,2.98,5.67,8.64,11,10,11
Blair Oaks,2.18,5.22,7.41,14,11,12
Carrollton,2.24,0.94,3.18,13,17,13
Transportation and Law with Beaumont,-1.49,4.53,3.04,20,12,14
Mark Twain,-0.61,3.24,2.63,18,14,15
Lexington,0.27,1.02,1.29,17,16,16
Mountain Grove,0.69,-2.83,-2.15,16,20,17
Trenton,-2.57,-1.59,-4.16,22,18,18
South Callaway,-8.4,2.89,-5.51,33,15,19
Jefferson (Festus),13.16,-19.59,-6.44,1,55,20
Malden,-1.3,-5.53,-6.83,19,25,21
Strafford,2.07,-10.21,-8.14,15,37,22
Monroe City,-4.28,-4.07,-8.36,26,22,23
Palmyra,-8.38,-1.97,-10.36,31,19,24
Willow Springs,-6.25,-4.34,-10.59,28,23,25
Knob Noster,-5.32,-5.96,-11.28,27,26,26
Lathrop,-8.18,-3.91,-12.08,30,21,27
Herculaneum,-3.74,-8.51,-12.25,24,31,28
Warsaw,-2.45,-10.47,-12.93,21,38,29
Hermann,-4.04,-9.35,-13.4,25,35,30
University Academy Charter,-2.91,-10.96,-13.87,23,39,31
North Callaway,-8.6,-6.73,-15.33,34,28,32
Stockton,-7.01,-9.35,-16.37,29,34,33
Bishop LeBlond,-8.4,-8.08,-16.49,32,30,34
Butler,-10.26,-8.74,-19.0,36,32,35
Cuba,-14.65,-4.45,-19.09,46,24,36
Brentwood,-14.96,-6.01,-20.97,47,27,37
El Dorado Springs,-11.41,-9.83,-21.24,37,36,38
Sherwood,-13.45,-8.93,-22.38,42,33,39
Fair Grove,-16.05,-7.61,-23.66,49,29,40
Plattsburg,-12.38,-13.22,-25.6,39,42,41
Clopton with Elsberry,-9.4,-19.35,-28.76,35,54,42
St. Paul Lutheran (Concordia),-16.97,-11.82,-28.79,50,40,43
Charleston,-13.4,-17.03,-30.43,41,46,44
Montgomery County,-11.73,-19.02,-30.75,38,53,45
Lutheran St. Charles,-14.3,-16.95,-31.25,45,45,46
East Prairie,-13.96,-17.87,-31.82,44,48,47
Ash Grove,-13.26,-19.72,-32.98,40,56,48
Principia,-22.12,-12.04,-34.16,53,41,49
Grandview (Hillsboro),-20.32,-15.11,-35.43,52,43,50
Scott City,-13.53,-22.46,-35.99,43,58,51
Highland,-18.85,-18.52,-37.36,51,52,52
Hallsville,-15.37,-24.01,-39.39,48,59,53
Pleasant Hope,-23.17,-18.05,-41.23,54,50,54
Houston,-24.27,-18.07,-42.34,55,51,55
Sarcoxie,-24.81,-19.93,-44.74,56,57,56
St. Pius X (Festus),-26.94,-17.96,-44.9,57,49,57
Carnahan,-31.92,-15.14,-47.06,58,44,58
Derrick Thomas Academy,-36.97,-17.76,-54.73,62,47,59
Diamond,-33.12,-24.72,-57.84,59,60,60
Cleveland NJROTC,-33.83,-28.81,-62.64,61,61,61
Van-Far with Community,-33.34,-30.22,-63.56,60,62,62
Father Tolton with Calvary Lutheran,-45.5,-35.14,-80.64,63,63,63
Southeast,-65.13,-43.99,-109.13,64,64,64
