Date,Home Team,Home Score,Away Team,Away Score
2011-08-19,McCluer,14,Kirkwood,51
2011-08-26,El Dorado Springs,27,Adrian,7
2011-08-26,Union,48,Affton,7
2011-08-26,Windsor,7,Archie,42
2011-08-26,Savannah,55,Bishop LeBlond,7
2011-08-26,Carrollton,27,Blair Oaks,56
2011-08-26,Rockhurst,35,Blue Springs,20
2011-08-26,Raytown South,0,Blue Springs South,29
2011-08-26,Pleasant Hill,27,Boonville,16
2011-08-26,Fair Grove,48,Buffalo,14
2011-08-26,Stockton,13,Butler,44
2011-08-26,Nixa,28,Camdenton,12
2011-08-26,Smithville,50,Cameron,7
2011-08-26,Branson,6,Carthage,34
2011-08-26,Mountain Grove,14,Cassville,35
2011-08-26,Central (Cape Girardeau),41,Central (New Madrid County),6
2011-08-26,Lift for Life Academy Charter,8,Central (Springfield),49
2011-08-26,Louisiana,14,Centralia,50
2011-08-26,Grandview (Hillsboro),7,Chaffee,42
2011-08-26,Marshall,12,Chillicothe,40
2011-08-26,Lafayette County,26,Concordia,28
2011-08-26,Rich Hill with Hume,0,Crest Ridge,33
2011-08-26,Brentwood,21,Crystal City,35
2011-08-26,Ste. Genevieve,6,Dexter,28
2011-08-26,Lockwood with Golden City,48,Diamond,6
2011-08-26,Appleton City with Montrose,6,Drexel with Miami (Amoret),49
2011-08-26,Hayti,40,East Prairie,10
2011-08-26,Richmond,48,Excelsior Springs,26
2011-08-26,Farmington,34,Festus,9
2011-08-26,Parkway South,19,Fox,6
2011-08-26,Troy Buchanan,20,Francis Howell Central,21
2011-08-26,Washington,42,Ft. Zumwalt East,50
2011-08-26,Duchesne,16,Ft. Zumwalt North,50
2011-08-26,St. Charles West,34,Ft. Zumwalt South,21
2011-08-26,Christian Brothers College,52,Ft. Zumwalt West,49
2011-08-26,Joplin,37,Glendale,50
2011-08-26,Platte County,49,Grain Valley,7
2011-08-26,Harrisonville,12,Helias Catholic,16
2011-08-26,Rock Bridge,33,Hickman,27
2011-08-26,Marshfield,40,Hollister,14
2011-08-26,Francis Howell,53,Holt,17
2011-08-26,Cabool,21,Houston,6
2011-08-26,Veritas Christian Academy,33,Jackson,30
2011-08-26,Winnetonka,7,Kearney,15
2011-08-26,Penney,46,King City with Pattonsburg,15
2011-08-26,Rockwood Summit,7,Kirkwood,36
2011-08-26,East (Kansas City),0,Lafayette (St. Joseph),49
2011-08-26,Eureka,28,Lafayette (Wildwood),35
2011-08-26,West Plains,19,Lebanon,47
2011-08-26,William Chrisman,28,Lee's Summit,40
2011-08-26,Fort Osage,35,Lee's Summit North,6
2011-08-26,Ash Grove,42,Liberal with Bronaugh,6
2011-08-26,Park Hill,13,Liberty,7
2011-08-26,West Platte,48,Lincoln College Prep,21
2011-08-26,St. Paul Lutheran (Concordia),28,Lone Jack,21
2011-08-26,Bishop DuBourg,56,Lutheran South,40
2011-08-26,Kirksville,6,Macon,33
2011-08-26,Scott City,21,Malden,47
2011-08-26,Brookfield,47,Mark Twain,0
2011-08-26,Sumner,8,Marquette,30
2011-08-26,Lawson,0,Maryville,48
2011-08-26,Jefferson City,39,McCluer North,7
2011-08-26,Hillsboro,53,Mexico,25
2011-08-26,Orrick,0,Mid-Buchanan,56
2011-08-26,Maysville,0,Midway,35
2011-08-26,Greenfield,21,Miller,46
2011-08-26,Hallsville,40,Missouri Military Academy,0
2011-08-26,California,6,Moberly,21
2011-08-26,McDonald County,6,Monett,19
2011-08-26,Bowling Green,53,Montgomery County,36
2011-08-26,Logan-Rogersville,41,Mt. Vernon,6
2011-08-26,Bolivar,42,Neosho,0
2011-08-26,Warrensburg,27,Nevada,18
2011-08-26,Eldon,36,North Callaway,28
2011-08-26,Fredericktown,20,North County,34
2011-08-26,Central (St. Joseph),19,North Kansas City,7
