School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blue Springs,39.71,28.81,68.52,1,4,1
Rockhurst,25.52,38.02,63.54,4,1,2
Christian Brothers College,28.22,21.15,49.37,3,10,3
Lafayette (Wildwood),23.0,26.28,49.27,6,5,4
Francis Howell,17.84,30.7,48.55,12,2,5
Rock Bridge,17.98,28.96,46.94,10,3,6
Raymore-Peculiar,28.27,16.86,45.14,2,15,7
De Smet Jesuit,25.32,19.78,45.11,5,14,8
Jefferson City,20.28,23.11,43.39,8,8,9
Liberty,22.37,20.61,42.98,7,11,10
Blue Springs South,17.95,24.03,41.98,11,6,11
Eureka,18.56,20.33,38.89,9,12,12
Hickman,13.65,21.61,35.27,17,9,13
Hazelwood Central,11.19,23.5,34.69,19,7,14
Ritenour,17.25,12.62,29.87,13,17,15
Ft. Zumwalt West,14.07,12.21,26.28,16,18,16
Parkway South,4.13,20.24,24.37,23,13,17
Joplin,11.54,11.71,23.25,18,19,18
SLUH,14.93,6.69,21.62,14,25,19
Lee's Summit,14.73,2.84,17.57,15,28,20
Oakville,5.4,9.78,15.18,21,21,21
Lindbergh,-1.84,16.5,14.66,28,16,22
Marquette,2.82,10.47,13.29,26,20,23
Troy Buchanan,5.1,7.04,12.14,22,24,24
Timberland,2.89,8.95,11.84,25,23,25
Lee's Summit North,3.89,6.52,10.4,24,26,26
Pattonville,0.75,3.74,4.48,27,27,27
Hazelwood West,-5.79,9.27,3.47,30,22,28
Francis Howell Central,6.57,-3.61,2.96,20,30,29
Mehlville,-3.2,-1.15,-4.35,29,29,30
Francis Howell North,-10.77,-5.7,-16.47,32,31,31
Northwest (Cedar Hill),-8.73,-10.45,-19.19,31,32,32
