School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Lee's Summit West,27.71,30.28,57.99,2,2,1
Kirkwood,27.96,25.82,53.78,1,3,2
Ozark,25.71,22.75,48.46,3,5,3
Fort Osage,16.09,31.79,47.88,11,1,4
Rockwood Summit,23.44,18.96,42.41,4,11,5
Parkway Central,14.7,24.4,39.11,15,4,6
Lebanon,23.27,14.73,38.0,5,14,7
Staley,23.09,14.25,37.33,6,16,8
Camdenton,15.43,21.36,36.79,12,6,9
Webster Groves,17.19,19.27,36.46,10,10,10
Nixa,15.24,19.81,35.04,13,8,11
Park Hill South,13.82,19.99,33.82,16,7,12
Hazelwood East,12.88,19.51,32.39,20,9,13
Parkview,17.5,13.12,30.62,9,19,14
Central (St. Joseph),17.82,12.16,29.98,8,22,15
Kearney,19.73,9.74,29.46,7,25,16
McCluer,12.2,15.65,27.86,22,13,17
Winnetonka,13.74,14.09,27.82,17,17,18
Holt,11.92,14.71,26.63,23,15,19
Jackson,13.5,10.43,23.93,18,23,20
Parkway North,9.51,13.96,23.46,25,18,21
Kickapoo,6.36,16.86,23.22,27,12,22
McCluer North,9.76,12.45,22.21,24,20,23
Washington,13.17,5.09,18.26,19,36,24
Ft. Zumwalt East,12.5,4.06,16.55,21,38,25
Rolla,5.43,10.36,15.79,30,24,26
Park Hill,6.71,7.8,14.51,26,29,27
North Kansas City,4.12,9.47,13.59,32,26,28
Raytown,5.74,7.4,13.13,28,31,29
Branson,5.47,6.08,11.55,29,34,30
Fox,2.54,7.94,10.48,33,28,31
Willard,1.4,8.43,9.83,38,27,32
Vianney,14.91,-7.44,7.48,14,47,33
Chaminade College Preparatory,0.08,7.1,7.19,40,32,34
Ft. Zumwalt North,-5.34,12.22,6.88,48,21,35
Ft. Zumwalt South,1.87,3.21,5.08,36,39,36
Waynesville,0.23,4.44,4.67,39,37,37
Truman,-3.38,6.75,3.37,44,33,38
Riverview Gardens,2.08,1.28,3.36,35,41,39
William Chrisman,4.67,-1.54,3.13,31,42,40
Glendale,-4.24,5.36,1.11,46,35,41
Seckman,-0.01,-2.56,-2.57,41,43,42
Neosho,1.56,-4.16,-2.6,37,45,43
Poplar Bluff,-10.78,7.63,-3.15,50,30,44
Belton,-6.07,2.22,-3.85,49,40,45
Parkway West,-1.98,-4.02,-6.0,43,44,46
Central (Springfield),2.49,-10.35,-7.86,34,48,47
Smith-Cotton,-4.83,-4.89,-9.72,47,46,48
Oak Park,-0.51,-12.53,-13.05,42,49,49
Ruskin,-4.17,-14.28,-18.45,45,50,50
