School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,27.37,43.75,71.12,7,1,1
Blue Springs,34.42,33.42,67.84,4,2,2
Blue Springs South,38.33,24.12,62.45,1,9,3
Christian Brothers College,25.22,27.23,52.46,10,6,4
Jefferson City,29.81,22.38,52.19,5,10,5
Francis Howell,25.8,26.23,52.03,9,7,6
Hazelwood Central,21.75,30.1,51.86,15,4,7
Ft. Zumwalt West,35.35,14.7,50.06,2,17,8
Hickman,21.46,27.36,48.82,16,5,9
Raymore-Peculiar,29.3,19.41,48.72,6,13,10
Rock Bridge,26.92,19.27,46.2,8,14,11
Lee's Summit North,14.55,30.39,44.94,19,3,12
Lee's Summit,35.34,9.56,44.91,3,24,13
De Smet Jesuit,22.0,20.37,42.36,14,12,14
Liberty,23.13,17.35,40.48,12,16,15
Eureka,16.72,20.75,37.47,17,11,16
SLUH,23.35,14.08,37.43,11,18,17
Pattonville,12.23,24.44,36.68,23,8,18
Marquette,22.28,9.89,32.17,13,23,19
Lindbergh,12.29,18.15,30.43,22,15,20
Joplin,16.2,10.72,26.93,18,22,21
Lafayette (Wildwood),12.33,11.66,23.99,21,20,22
Ritenour,9.08,10.94,20.02,25,21,23
Parkway South,11.68,4.88,16.56,24,27,24
Timberland,13.19,2.14,15.33,20,30,25
Hazelwood West,0.49,13.06,13.55,29,19,26
Francis Howell Central,7.54,5.19,12.73,27,26,27
Francis Howell North,8.77,3.51,12.28,26,28,28
Mehlville,-0.31,7.22,6.91,30,25,29
Oakville,1.73,1.96,3.69,28,31,30
Troy Buchanan,-7.38,3.48,-3.91,31,29,31
Northwest (Cedar Hill),-8.48,-3.64,-12.12,32,32,32
