School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Lee's Summit West,29.32,25.81,55.13,2,4,1
Kirkwood,28.48,25.61,54.08,3,5,2
Webster Groves,27.9,22.88,50.78,5,7,3
Staley,30.88,19.76,50.65,1,11,4
Parkway Central,22.45,26.61,49.06,7,1,5
Hazelwood East,28.01,19.09,47.1,4,12,6
McCluer North,21.26,23.78,45.03,8,6,7
Fort Osage,17.81,26.26,44.07,12,3,8
Kearney,15.42,26.36,41.78,14,2,9
Nixa,17.93,20.26,38.2,11,10,10
Ozark,20.02,17.35,37.37,10,14,11
Rockwood Summit,14.33,21.08,35.41,16,9,12
Winnetonka,8.93,22.62,31.55,25,8,13
Parkway North,20.48,10.14,30.62,9,22,14
Glendale,23.13,7.23,30.37,6,28,15
Central (St. Joseph),14.54,10.22,24.77,15,21,16
Chaminade College Preparatory,11.22,13.45,24.67,21,17,17
Park Hill South,4.95,17.4,22.36,32,13,18
McCluer,13.46,7.8,21.25,17,27,19
Raytown,6.56,14.68,21.25,29,16,20
Park Hill,6.03,13.41,19.44,30,18,21
Camdenton,6.87,12.17,19.04,28,20,22
Truman,10.62,8.35,18.96,22,26,23
Branson,9.36,8.62,17.98,24,25,24
Holt,2.04,15.55,17.58,39,15,25
Lebanon,11.28,6.28,17.56,20,31,26
Kickapoo,8.08,8.66,16.75,26,24,27
Riverview Gardens,13.11,3.5,16.61,18,36,28
Vianney,3.31,12.38,15.68,36,19,29
Waynesville,15.74,-0.32,15.41,13,42,30
Ft. Zumwalt North,12.1,1.4,13.5,19,40,31
Ft. Zumwalt South,4.64,7.1,11.75,33,30,32
Ft. Zumwalt East,10.2,-1.2,9.0,23,44,33
Willard,-2.67,10.11,7.44,45,23,34
Parkway West,3.09,2.75,5.84,37,38,35
Belton,4.31,1.22,5.53,34,41,36
North Kansas City,-1.91,7.22,5.32,44,29,37
Neosho,-0.39,5.07,4.68,40,33,38
Seckman,2.45,1.55,4.0,38,39,39
William Chrisman,5.99,-3.38,2.61,31,45,40
Washington,7.49,-5.32,2.17,27,48,41
Rolla,-1.3,2.92,1.62,42,37,42
Parkview,-4.74,5.98,1.24,48,32,43
Smith-Cotton,4.09,-4.99,-0.91,35,47,44
Fox,-5.3,3.7,-1.6,49,34,45
Poplar Bluff,-0.57,-1.2,-1.77,41,43,46
Ruskin,-8.83,3.58,-5.25,50,35,47
Oak Park,-3.11,-3.46,-6.58,46,46,48
Jackson,-3.81,-7.01,-10.82,47,49,49
Central (Springfield),-1.39,-12.2,-13.59,43,50,50
