School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Valle Catholic,11.25,10.39,21.65,1,1,1
Concordia,11.13,5.89,17.01,2,3,2
Penney,5.6,9.67,15.27,5,2,3
Drexel with Miami (Amoret),2.89,3.93,6.83,8,4,4
Wellington-Napoleon,4.32,1.16,5.48,7,9,5
Tipton,7.79,-3.46,4.33,3,17,6
Miller,6.2,-2.08,4.12,4,16,7
West Platte,5.4,-1.64,3.76,6,12,8
Thayer,-1.55,3.73,2.18,12,6,9
South Harrison,-2.46,3.86,1.4,14,5,10
Salisbury,1.79,-1.88,-0.09,10,15,11
Westran,-2.71,2.29,-0.41,15,7,12
South Shelby,-1.62,0.41,-1.21,13,10,13
Skyline,0.97,-4.05,-3.08,11,19,14
East Buchanan,2.76,-6.01,-3.25,9,24,15
Polo,-5.36,-0.07,-5.43,18,11,16
Midway,-4.95,-1.8,-6.76,17,14,17
North Platte,-10.07,1.68,-8.39,24,8,18
Gallatin,-6.58,-3.62,-10.2,20,18,19
Hayti,-5.94,-4.42,-10.36,19,21,20
Milan,-3.09,-7.56,-10.65,16,26,21
Cole Camp,-10.43,-4.96,-15.4,25,23,22
Osceola,-11.08,-4.42,-15.5,29,20,23
Crystal City,-7.52,-8.43,-15.95,22,27,24
Adrian,-15.09,-1.75,-16.84,41,13,25
Marceline,-13.57,-4.47,-18.04,36,22,26
Archie,-7.99,-10.95,-18.94,23,32,27
Princeton with Mercer,-10.8,-9.04,-19.84,27,28,28
Marionville,-14.88,-6.16,-21.04,40,25,29
King City with Pattonsburg,-11.27,-12.73,-23.99,30,35,30
Louisiana,-10.89,-14.07,-24.97,28,36,31
St. Vincent,-7.33,-18.0,-25.33,21,46,32
Cabool,-13.81,-11.89,-25.71,37,33,33
Santa Fe,-14.5,-12.1,-26.59,39,34,34
Mid-Buchanan,-18.54,-9.23,-27.77,45,29,35
Lockwood with Golden City,-11.79,-16.25,-28.03,33,41,36
Lone Jack,-11.33,-16.95,-28.28,31,42,37
Pierce City,-10.46,-17.82,-28.28,26,45,38
Crest Ridge,-11.47,-17.11,-28.58,32,43,39
Chaffee,-13.39,-15.53,-28.92,35,37,40
Schuyler County,-18.88,-10.07,-28.95,47,31,41
McAuley Catholic,-14.24,-15.69,-29.93,38,39,42
Greenfield,-20.64,-9.52,-30.16,50,30,43
Sacred Heart,-12.46,-20.08,-32.53,34,50,44
Portageville,-19.48,-15.58,-35.06,48,38,45
Windsor,-18.21,-17.63,-35.84,43,44,46
Knox County,-18.63,-18.69,-37.32,46,47,47
Paris,-17.79,-20.01,-37.8,42,49,48
Scotland County,-25.92,-15.96,-41.87,55,40,49
Maysville,-21.72,-24.84,-46.56,51,52,50
Rich Hill with Hume,-22.95,-23.64,-46.59,52,51,51
Putnam County,-18.5,-28.25,-46.75,44,57,52
Albany,-23.55,-25.04,-48.58,54,53,53
St. Mary's (Independence),-20.26,-29.13,-49.39,49,58,54
Braymer,-27.02,-25.79,-52.81,56,54,55
Fayette,-34.2,-19.86,-54.06,63,48,56
Sweet Springs with Malta Bend,-28.29,-26.7,-54.99,57,55,57
Appleton City with Montrose,-22.96,-34.15,-57.11,53,61,58
Liberal with Bronaugh,-33.0,-27.19,-60.19,60,56,59
Jasper,-31.25,-33.75,-65.0,58,60,60
North Shelby,-33.79,-32.87,-66.66,61,59,61
Orrick,-32.02,-39.25,-71.27,59,62,62
Slater,-33.98,-42.96,-76.94,62,63,63
Wentworth Military Academy,-53.86,-48.59,-102.45,64,64,64
